Number, Authors,Year,Journal/Conference,Title,Cognitive,Perceptual,Involves Priming,Suggested Keywords,Detailed Comments,Agent/Avatar,Body Ownership,User Response,Participant Group,Relevance,Quality,Contributor (Your Name),Date Entered,
178,"K. Shinozawa, F. Naya, J. Yamato, and K. Kogure",2005,International Journal of Human-Computer Studies,Differences in effect of robot and screen agent recommendations on human decision-making,Yes,Yes,Participants did not know the exact purpose of the experiment. They were told that main purpose was to investigate the relationship between color region and color name.,"Body Pose and Gestures (r)
Display Technology (sm)","This paper compares the effect of a robot’s and on-screen agent’s recommendations on human decision-making using a quantitative evaluation method. In the experiment, participants should decide the name of the displayed color. There were three conditions: no agent, 2D screen agent, and 3D physical robot. Agent suggested the name of the color. The degree of the effect depends on the consistency of the dimensionality between the environment and the agents.",Agent,No,Decision making to decide the name of the displayed color,178 participants,High,Medium,Kangsoo,2013-05-02,
179,"Bailenson, Jeremy N.
Garland, Philip
Iyengar, Shanto
Yee, Nick
",2006,Political Psychology,Transformed Facial Similarity as a Political Cue: A Preliminary Investigation,Yes,Yes,Yes,"Emotiveness (r), Facial Expressions (sc), Graphical Fidelity (sm)",Subjects saw a picture of a political candidate. Some subjects saw a picture of the candidate (60% blend) morphed with their own faces (40% blend). The rest of the subjects saw an unaltered picture of the candidate. Results showed no significant effect for the morphed picture. Male subjects did rate the morphed photograph more positively than the unaltered photograph while female subjects rated their morphed photographs more negatively. ,Agent,No,"Subject intention to vote for candidate, subjects trait rating of the candidate",72 undergraduate students,Medium,High,Jenna,2013-05-06,
180,"Deng, Zhigang
Bailenson, Jeremy 
Lewis, J.P.
Neumann, Ulrich
",2006,6th International Conference on Intelligent Virtual Agents,Perceiving Visual Emotions with Speech,Yes,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Emotiveness (p), Graphical Fidelity (sm), Display Techonology (sm)","Study examines the perception of emotion on a speaking agent. Recorded video and 3D motion of facial expressions of an actress with different emotions. Subjects identified and rated the stimuli based on the recorded footage. Technology also objectively analyzed emotional data. Results showed that machine learning facial data is correlated with subjects evaluations, and the lower facial region gives emotional clues for visual perception of affect. ",Agent,No,"Evaluations of emotions: neutral, anger, sadness, happiness for whole face, upper face, and lower face regions","25 undergraduate student volunteers (11m, 14f)",Medium,High,Jenna,2013-05-06,
181,"Bailenson, Jeremy N.
Beall, Andrew C.
Loomis, Jack
Blascovich, Jim
Turk, Matthew",2005,Human Communication Research,"Transformed Social Interaction, Augmented Gaze, and Social Influence in Immersive Virtual Environments",Yes,Yes,No,,"A presenter read aloud a persuasive message to two participants in different gaze conditions, including augmented gaze where the presenter appears to only be looking at each participant at the same time. Women agreed more with message in augmented gaze conditions. Men recalled more verbal information than women. ",Avatar/Agent,N/A,"Participant scores:
% time estimation presenter looked at them/other participant/no one, ANOVA agreement score, ANOVA recall score, ANOVA social presence, detection of augmented gaze",72 college students in an introductory psychology class; age 18-25,High,High,Jenna,2013-05-06,
182,"Bailenson, Jeremy N.
Yee, Nick",2005,Psychological Science,Digital Chameleons: Automatic Assimilation of Nonverbal Gestures in Immersive Virtual Environments,Yes,Yes,No,"Anthropomorphic Appearance (sc), Body Pose and Gestures (r), Agency (i), Talk/speak (p)","Agent verbally presented an argument to participants in virtual reality. An agent either mimicked the participant's head movements with a 4 second delay or played back another participant's head movements. Mimicking agents were more persuasive and received more positive trait ratings than nonmimickers (chameleon effect), even though participants were unable to detect the mimicry. ",Agent,N/A,"Scores for social presence, participant agreement with agent (agent persuasiveness), and agent impression (on participants). Analysis of variance for these 3 independent variables and agent's effectivness for the dependent variable. ","69 college students enrolled in an introductory communication class (47 f, 22m)",High,High,Jenna ,2013-05-06,
183,"Turk, Matthew
Bailenson, Jeremy N. 
Beall, Andrew
Blascovich, Jim
Guadagno, Rosanna
",2005,ACM Sixth International Conference on Multimodal Interfaces (ICMI),Multimodal Transformed Social Interaction,Yes,Yes,No,"Eye Gaze (p/r), Agency (i), Anthropomorphic Appearance (sc), Body Pose and Gestures (r)","Eye gaze was manipulated so that each participant in a three-person CVE received eye gaze from a presenter that was normal, less than normal, or greater than normal. (Focused on non-zero sum gaze, which is when the amount of gaze given is not equal to the amount received.) Participants generally thought they received more eye gaze from the presenter than the other participants. ",Avatar/Agent,N/A,"Participant scores:
ANOVA presenter awareness (of participants), ANOVA agreement score (with summaries), ANOVA recall score, time estimation - presenter looking at them/other participant/no one",72 college students enrolled in an introductory psychology class; age 18-25 ,High,High,Jenna,2013-05-06,
184,"Lee Sproull
Mani Subramani
Sara Kiesler
Janet H. Walker
Keith Waters",1996,Human-Computer Interaction,When the Interface is a Face,No,No,No,Anthropomorphic Face and Facial Expressions (a) & (sc),The beginnings of literature on designing computer interfaces to behave the way people do or to be perceived as closer to human than they would without interference.,Agent,No,Study shows evidence that people who interacted with the talking-face display computers attributed some personality to the computer than people who interacted with text-only display computers. ,130 Boston University Students,Medium,High,Joy,2013-05-06,
185,"Karl F. MacDorman
Robert D. Green
Chin-Chan Ho
Clinton T. Koch",2009,Computers in Human Behavior,Too Real for Comfort? Uncanny Responses to Computer Generated Faces,No,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Physical Shape (s), Body Pose and Gestures (p) ","This a series of studies interested in uncovering specific characteristics that define the ""uncanny valley"", specifically looking at subjects' perceptions of photorealistic faces and their properties.",Agent,No,"Results from the 4 studies reveal that texture photorealism and polygon count increase the perception of human resemblence, that atypical facial proportions are perceived as more disturbing on photorealistic faces than other faces, and that a mismatch in eye size or texture and face was highly likely to cause feelings of discomfort (ie uncanny valley).","3,294 Midwestern university undergraduates",High,High,Joy,2013-05-06,
186,"Karl F. MacDorman
Robert D. Green
Chin-Chan Ho
Sandosh Vasudevan",2008,Computers in Human Behavior,Sensitivity to the Proportions of Faces that Vary in Human Likeness,No,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Physical Shape (s), Body Pose and Gestures (p) ","This study sought to uncover the best design principles for successful interaction between humans and avatars by measuring subjects' responses to varying facial proportions in people, androids, mechanical-looking robots, and two and three-dimensional characters.",Agent,No,"Participants showed greater agreement on the best proportions of faces 
they considered more humanlike and more attractive and less tolerance 
for deviation from these proportions in more attractive faces. An uncanny valley was found when 
participants were most ambivalent about the human likeness of a face.","208 subjects recruited by email, newsgroup postings, and direct contact.",Medium,High,Joy,2013-05-06,
187,"Lingyun Qiu
Izak Benbasat",2009,Journal of Management Information Systems,Evaluating Anthropomorphic Product Recommendation Agents: A Social Relationship Perspective to Designing Information Systems,No,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Agency (i), Auditory Stimuli (o), Talk/Speak (p), Cooperative Behavior (r)",This study applies a social relationship perspective to its design as it seeks to better the interfaces of PRA's (product recommendation agents) by using humanoid embodiment and voice output to increase subjects' perceptions of a social relationship with a technilogically-based object.,Agent,No,"Using the humanoid embodiment and voice-based communication significantly influences users' perceptions of social presence and seemed to enhance in turn the users' trusting beliefs, perceptions of enjoyment and intentions to use the agent.","168 participants (155 undergraduate students, 8 graduate students, 5 staff members). 166 used internet for >4 years; 137 used internet for >7 years.",Medium,High,Joy,2013-05-06,
188,"Amy Baylor
Yanghee Kim",2003,"World Conference on E-Learning in Corporate, Government, Healthcare, and Higher Education (ELEARN)",The Role of Gender and Ethnicity in Pedagogical Agent Perception,Yes,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Physical Shape (s), Responsiveness/Latency (r), Feedback (p), Situational Plausibility (sc)",Investigation of the role of pedagogical agent gender and ethnicity. ,Agent,Subjects responded better to agents whose shared their ethnicity.,"Male agents perceived as more extraverted and agreeable than female agents. In learning contexts, subjects who worked with male agents reported greater satisfaction with their performance and reported that the agent better facilitated self-regulation. Students who worked with agents of the same ethnicity peceived the agents to be more engaging and friendly. Female students perceived African-American agents to be more open to new things than Caucasian agents, but the opposite was true for male students (subjects).",139 students,Medium,Medium,Joy,2013-05-06,
189,"Jun Xiao
John Stasko
Richard Catrambone",2004,AAMAS '04 Proceedings of the Third International Joint Conference on Autonomous Agents and Multiagent Systems - Volume 1 ,An Empirical Study of the Effect of Agent Competence on User Performance and Perception,No,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Incremental Interpretation/Early Feedback (p), Spontaneous Actions (p), Responsiveness/Latency (r), Cooperative Behavior (r)",Study on subjects' evaluation of an interface agent that helped them learn and use a text editing program.,Agent,No,"Perceived utility of the agent was influenced by the types of errors it 
made and the style of its assistance.","51 Georgia Tech undergraduates (31 male, 20 female) with a variety of majors and computer experience.",Medium,Medium,Joy,2013-05-06,
190,"Kwan Min Lee
Namkee Park
Hayeon Song",2005,Human Communication Research,Can a Robot Be Perceived as a Developing Creature?,Yes,Yes,No,"Situational Plausibility (a), Eye Gaze (i), Body Pose and Gestures (s, i), Physical Shape (s), Responsiveness / Latency (o), Spontaneous Actions (p)",Study tests the effect of long-term artificial development of a robot on users’ feelings of social presence and social responses towards the robot.,Agent,No,"Subjects assigned a ""developing"" agent positively perceived AIBO (Sony's robotic dog) as lifelike, had greater feelings of social presence, and showed social responses to AIBO.",40 college students,Medium,High,Joy,2013-05-06,
191,"H. S. M. Cramer, N. A. Kemper, A. Amin, and V. Evers",2009,ACM/IEEE international conference on Human robot interaction - HRI,The effects of robot touch and proactive behaviour on perceptions of human-robot interactions,Yes,Yes,No,"Body Pose and Gestures (p, r)
Haptic / Tactile Interactions (sm)","Proactive robots are seen as less machine-like when their interaction is complemented with tactile interaction.
However, physical contact with a reactive robot made it appear less dependable.
Only participants with a positive attitude towards robots found the robot to be more like a machine when it did not touch the user. In general, these participants also perceived the robot as more human-like and closer to the user.",N/A (video clip of interaction between a user and a robot),No,participants’ attitudes towards avideo of an interaction between a user and a robotic assistant.,"2x2 between-subject survey experiment (N=119)
119 participants (predominantly Dutch, 19 female, age M=25,r=14-55)",Medium,Low,Kangsoo,2013-05-07,
192,"Yee, Nick
Bailenson, Jeremy N.
Urbanek, Mark
Chang, Francis
Merget, Dan",2007,CyberPsychology & Behavior,The Unbearable Likeness of Being Digital: The Persistence of Nonverbal Social Norms in Online Virtual Environments ,Yes,Yes,No,"Eye Gaze (r), Anthropomorphic Appearance (sc); Body Pose and Gestures (r)","Observational study in Second Life analyzing social norms of gender, interpersonal distance (IPD) and eye gaze. Specifically looked at gender (male-male, femal-female and mixed dyads) and location (indoor/outdoor). Results show male-male dyads have larger IPDs and less eye contact than female-female dyads. Decreases in IPD compesated with gaze avoidance - consistent with Equilibrium Theory. Avatars more likely to maintain eye contact indoors than outdoors.",Avatar,N/A,interpersonal distance (IPD - the distance maintained between avatars) and mutual gaze (if avatars looked at each other),Undergraduate college students were assigned to 115 zones in Second Life; snapshot samples led to 835 dyads for analysis (at least two people interacting per dyad),Medium,High,Jenna,2013-05-19,
193,"Bailenson, Jeremy N.
Beall, Andrew C.
Loomis, Jack
Blascovich, Jim
Turk, Matthew",2004,Presence,Transformed Social Interaction: Decoupling Representation From Behavior and Form in Collaborative Virtual Environments,Yes,Yes,Yes,"Body Pose and Gestures (p), Agency (i), Responsiveness/latency (o), Anthropomorphic Appearance (sc)","Manipulated 3 independent variables: test trial length (either 16 or 32 seconds), mimic delay (computer-agent mimics either 1, 2, 4, or 8 seconds after judge’s movements) and range of motion (high: pitch, yaw, and roll, or low: yaw only). Some participants were told that computer agent was mimicking them but were still mostly unable to identify who the human avatar was. As mimic delay increased, the harder it was to detect.",Avatar/Agent,N/A,"Identify human avatar vs. computer agent, identify mimicker",41 undergraduates,Medium,High,Jenna,2013-05-19,
194,"Bailenson, Jeremy N.
Aharoni, Eyal
Beall, Andrew C.
Guadagno, Rosanna E.
Dimov, Aleksandar
Blascovich, Jim",2004,7th Annual International Workshop on PRESENCE,Comparing Behavioral and Self-Report Measures of Embodied Agents' Social Presence in Immersive Virtual Environments,Yes,Yes,No,"Agency (r), Emotiveness (p), Body Pose and Gestures (r)","Study compares subjective questionnaire measures and behavioral measures of copresence. In 2 studies, researchers measured interpersonal distance between subjects and a tutoring agent or unfamiliar agent. Subjects yielded more personal space to embodied tutors, but subject self-reports of copresence, status, likeability, and interest were not significantly different for the different agents. Concludes that nonverbal behavior could be more sensitive in measuring copresence and agent influence. ",Agent,No,"Interpersonal distance between subjects and agents; self-reports of copresence, status, interest, and likeability","72 UCSB psychology students (36m, 36f)",Medium,High,Jenna,2013-05-20,
195,"Bailenson, Jeremy N.
Beall, Andrew C.
Blascovich, Jim
Rex, Christopher",2004,Presence,Examining Virtual Busts: Are Photogrammetrically Generated Head Models Effective for Person Identification?,Yes,Yes,No,"Anthropomorphic Appearance (a), Anthropomorphic Face and Facial Expressions (p), Display Technology (sm), Graphical Fidelity (sm)",A set of 11 studies presented photographs of people to subjects and tested them on face recognition from different angles and from different media (analog photographs or virtual model photographs). Subjects had increased recognition of analog photographs compared to virtual snapshots. ,Agent,No,"recognition performance; training time, testing time, feedback",191 psychology students,Medium,High,Jenna,2013-05-20,
196,"Beall, Andrew C.
Bailenson, Jeremy N.
Loomis, Jack
Blascovich, Jim
Rex, Christopher S.",2003,HCI International,Non-Zero-Sum Gaze in Immersive Virtual Environments,Yes,Yes,Yes,"Eye Gaze (p), Situational Plausibility (sc), Graphical Fidelity (sm), Display Technology (sm)","Study examines the effects on non-zero sum gaze in VR. Experimenter tried to persuade 2 subjects with 3 different gaze conditions: natural (unaltered rendering), augmented (each subject receives gaze 100% of the time), and reduced (neither subjects receives any gaze). Results showed that subjects were unaware of the augmented and reduced gaze manipulations, even though subjects' behavior changed in reaction to the gaze conditions. ",Avatar,No,"Subjects' head movements, self-reports of experimenter gaze, attitude change on the topic, and recall of information",54 participants (2 with 1 experimenter in each group),Medium,High,Jenna,2013-05-20,
197,"Slater, M.
Pertaub, D-P.
Barker, C.",2000,N/A,An Experiment on Fear of Public Speaking in Virtual Reality,Yes,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Eye gaze (i), Body Gestures (s,i), Talk/speak (p)","3 conditions: positive, static, negative audiences (manerisms and comments). Subjects gave 2 talks in 2 different conditions. Results showed higher anxiety and higher somatic response (physiological checklist) in negative condition. Negative condition appeared more realistic to subjects. People respond to virtual audiences much like the way they do in real life. Virtual reality is useful for social performance training when agent responses are timed appropriately. ",Agent,N/A,"Self-reported anxiety, physiological response checklist, subject assessment of performance",40 University College London students and staff members,Medium,High,Jenna,2013-05-25,
198,"Slater, M.
Gruger, C.
Edinger, G. 
Leeb, R.
Pfurtscheller, G.
Antley, A.
Garau, M.
Brogni, A.
Friedman, D.",2006,Presence,Analysis of Physiological Responses to a Social Situation in an Immersive Virtual Environment,Yes,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Eye gaze (i), Body Gestures (s,i), Talk/speak (p)","Subjects interacted in a bar scene with agents and went through 3 phases: baseline, training, experimental. There were significant changes from the training to the experimental phase, and speaking avatars led to higher heart rate. More socially anxious subjects had higher heart rates and lower heart rate variability than less socially anxious subjects.",Agent,N/A,"Skin conductance, heart rate, heart rate variability",20 University College London students,Medium,High,Jenna,2013-05-25,
199,"Slater, M.
Pertaub, D-P.
Steed, A.",1999,IEEE Computer Graphics and Applications,Public Speaking in Virtual Reality: Facing an Audience of Avatars,Yes,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Eye gaze (i), Body Gestures (s,i), Talk/speak (p)","Subjects presented a 5 minute talk to virtual people in a virtual seminar room. They repeated this 3 times - saw a positive or negative audience, audience opposite from first talk, audience starting hostile and becoming positive. For a negative audience, higher self-rating with higher perceived audience interest. For positive audience, no difference. The other independent factor was immersion - 3D headset or monitor. No significant difference in co-presence. Lower self-rating for negative audience and higher self-rating for positive audience. ",Agent,N/A,"Self-rating performance, reported physical symptoms of anxiety, standard fear of public speaking questionnaire ","10 University College London students and faculty (9m, 1f); age 20s and 30s",Medium,High,Jenna,2013-05-25,
200,"Slater, M.
Pertaub, D-P.
Barker, C.",2002,Presence: Teleoperators and Virtual Environments,An Experiment on Public Speaking Anxiety in Response to Three Different Types of Virtual Audience,Yes,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Eye gaze (i), Body Gestures (s,i), Talk/speak (p)","There are 3 different audience conditions: positive, static, negative audiences (facial expressions and bod gestures). Subjects gave 2 talks in 2 different conditions. Results showed higher anxiety and higher physiological response (somatic) in the negative audience condition, which was more realistic to subjects. People respond to virtual audiences similar to the way they do in real life. VR is helpful with social training when responses from agents are timed appropriately. ",Agent,N/A,"Self-reported anxiety, physiological response checklist, subject assessment of performance",40 University College London staff and students,Medium,High,Jenna,2013-05-26,
201,"Ewald Moser
Birgit Derntl
Simon Robinson 
Bernhard Fink
Ruben C. Gur
Karl Grammer ",2007,Journal of Neuroscience Methods,Amygdala Activation at 3T in Response to Human and Avatar Facial Expressions of Emotions,No,No,No,"Anthropomorphic Face and Facial Expressions (a), Emotiveness (i)",Study on the effect of computer-generated (avatar) faces on amygdala activation in participants. Participants are asked to perform a series of facial recognition tasks after viewing avatar and human faces and their displayed emotions. Participants' amygdala activation data in response to viewing both types of faces is analyzed. Researchers propose the use of avatars in future neuroimaging studies of facial processing as avatar faces are easier to manipulate than human ones. Results suggest a brain mechanism that humans use to distinguish between humans and avatars. ,Avatar,No,Avatar faces elicit similar levels of amygdala activation as human faces.,"12 students from the University of Vienna (5f, 7m), all right-handed",Medium,Medium,Joy,2013-06-09,
202,"Shoichi Hasegawa
Ishikawa Toshiaki
Naoki Hashimoto
Marc Salvati
Hironori Mitake
Yasuharu Koike
Makoto Sato",2006,ACM Computers in Entertainment,"Human-Scale Haptic Interaction with a Reactive
Virtual Human in a Real-Time Physics Simulator",Yes,Yes,No,"Body Pose and Gestures (s,i), Responsiveness/Latency (o), Haptic/Tactile Interactions (o), Incremental Interpretation/Early Feedback (p)","This research presents an framework for virtual human interaction using haptics in a virtual world where a user controls the avatar inflicting ""damage"" to a virtual human. The way that the virtual human reacts to the avatar is measured as well as realistic validity of the framework based on a second waive of subjects' reactions. The framework appears to be successful at this beginning stage. 
",Avatar,No,Users were able to correctly estimate what action an avatar had on a virtual human based on the algorithm designed by the researchers to imitate human behavior. The reactions of the virtual humans seemed real enough that participants had no difficulty identifying which area of the body was targeted by the avatar's attack. ,14 students,High,Medium,Joy,2013-06-09,
203,"Xueni Pan
Marco Gillies
Mel Slater",2008,Proceedings of the 2008 Presence,"The Impact of Avatar Blushing on the Duration of Interaction
between a Real and Virtual Person",No,Yes,No,"Anthropomorphic Face and Facial Expressions (e), Emotiveness (i)",Paper summarizes experiment on avatar blushing and this condition's effect on the length of time humans will voluntarily interact with the avatar. Whether or not participants would perceive the avatars' blushing and how they would react were the primary study goals. Participant toleration of or increased engagement with the avatar upon avatar blushing is measured.,Agent,No,"Participants noticed more blushing of the avatar's cheeks alone more than they noticed blushing of the avatar's entire face, and were more likely to withdraw early from interaction when cheeks were blushing. Avatars whose whole faces blushed did not trigger participants to leave early, contrary to findings of cheek-blushing alone. Participants felt more ""co-presence"" in condition where the avatars' whole faces were blushing despite that all participants indicated they had no conscious awareness of the fact that the avatars' whole faces were blushing. Implications for designing avatars that humans will feel comfortable interacting with and conditions that would discourage continuted interaction with avatars.",33 male students. Average age: 20 years,High,Medium,Joy,2013-06-09,
204,"Yvonne Jung
Sebastian Wagner",2010,IADIS Multi Conference on Computer Science,Emotional Factors in Face Rendering,No,No,No,"Anthropomorphic Face and Facial Expressions (a), Emotiveness (i)","This study closely examines physical characteristics of an avatar's face, specifically skin color and changes to skin appearance, on the ability of an avatar to express emotions effectively to humans.
",Avatar,No,"Subjects perceived emotions of an avatar much better in conditions where dynamic psychological and physiological effects of skin (ie sweating, weeping, blushing, face wrinkles) were manipulated consistent with the corresponding emotion.","
57 students (32 f, 25 m)",High,High,Joy,2013-06-09,
205,"
Ahmad Hoirul Basori
Abdullah Bade
Mohd Shahrizal Sunar
Daut Daman
Nadzari Saari",2009,International Journal of Digital Content Technology and its Applications,A Vibration Tactile Aesthetic to Enhance the Realism of Interactive Game Avatar,Yes,Yes,No,"Haptic/Tactile Interaction (o), Anthropomorphic Face and Facial Expressions (a), Emotiveness (i), Synchronization of Stimuli (a)",This study uses haptics paired with avatar facial expression to enhance realism via interactivity. Duration and acceleration of vibrations during avatar interaction are considered. Emotions expressed through facial interaction are angry and happy. Results show that the use haptics did increase immersiveness in the game.,Avatar,No,"Use of haptics created a positive sense of touch in user interactions with the avatar, increasing realness of the avatar by 35 to 55% from avatars used in previous comparable studies. The combination overall of avatar facial expression and haptics proved to enhance the immersion of participants in VR and the realism of the avatar overall.",N/A,High,Medium,Joy,2013-06-10,
206,"Alejandra García-Rojas
Dr. Frederic Vexo
Dr. Daniel Thalmann
Amaryllis Raouzaiou
Dr. Kostas Karpouzis
Professor Stefanos Kollias
Laurent Moccozet
Nadia Magnenat-Thalmann",2006,Computer Animation and Virtual Worlds,Emotional Face Expression Profiles Supported by Virtual Human Ontology,Yes,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Emotiveness (i)",This paper is an exploration of the technological ways facial animations of avatars can be successfully modeled for a higher degree of realism through facially expressed emotions. This research defines specific methods for the expression of several emotions that can be synthetically animated and which are demonstrated to be successful when prerecorded and used in virtual simulations. It includes methods of categorization for different facial expressions and animations.,Avatar,No,No participants,N/A,Medium,High,Joy,2013-06-10,
207,"Peter Weyers
Andreas Mühlberger
Carolin Hefele
Paul Pauli",2006,Psychophysiology,Electromyographic Responses to Static and Dynamic Avatar Emotional Facial Expressions,Yes,Yes,Yes,"Anthropomorphic Face and Facial Expressions (a), Emotiveness (i)",Experiment where participants' reactions of avatar facial expressions (both dynamic and static) are measured using EMG recordings. Participants were told their sweat gland reactions were being measured to mask the intention of measuring facial muscular activity in response to viewing avatar faces. ,Avatar,No,"Participants rated avatars with dynamic facial expressions as easier to recognize, more realistic and of higher intensity. Angry facial expressions were perceived by participants as more intense than happy facial expressions in avatars. When viewing avatars with happy facial expressions, participants increased tension in their facial muscle M. zygomaticus major and lessened tension in their M. corrugator. These effects were stronger when viewing dynamic facial expressions compared to static. Participants viewing angry expressions did not show muscle activity in the M. corrugator.",51 female students,Medium,High,Joy,2013-06-10,
208,"Kristine L. Nowak
Frank Biocca",2003,Presence,"The Effect of the Agency and
Anthropomorphism on Users’
Sense of Telepresence,
Copresence, and Social Presence
in Virtual Environments",Yes,Yes,Yes,Anthropomorphic Face and Face and Facial Expressions (a),"Experiment on anthropomorphic influence and experience of agency. Participants' feelings of copresence, social presence and presence were measured after images of high, low or no anthropomorphism were presented. Participants were also told that images were either 1) avatar controlled by a human or 2) an agent controlled by a computer. ",Avatar/Agent,No,"In both agent and avatar conditions, participants responded to the images with social presence. Low-anthropomorphic images had an advantage over high or no anthropomorphic images when rated by participants for copersence and social presence. Images with high anthropomorphism were mistrusted by participants (possibly) because they were unable to meet participants' expectations of their behavior, decreasing a sense of presence. ","134 undergraduates (94m, 40f)",Medium,High,Joy,2013-06-10,
209,"Christian WallRaven
Martin Beidt
Douglas W. Cunningham
Heinrich H. Bulthoff",2008,ACM Transactions on Applied Perception (TAP),Evaluating the Perceptual Realism of Animated Facial Expressions,No,Yes,No,Anthropomorphic Face and Facial Expressions (a),"Experiment evaluating several animation techniques regarding facial movement and animation in order to identify parameters of realism through improved recognition of avatars' expressions. Also, parameters of expression characteristics (study refers to them as ""spatiotemporal characteristics"") are investigated. Proposal is that changing certain facial features will improve perception of avatars as realisic. Results provide information about creating animated facial expressions on avatars that are easy for humans to recognize.",Avatar,No,"Participants judge the facial expressions of avatars with eyes and teeth as more intense and sincere compared with those who did not have them; participants could more easily recognize avatars' expressions when head motion, natural timing of internal facial motion, and frequency of facial motion were manipulated by researchers. ",12 participants for first study,High,Medium,Joy,2013-06-10,
210,"Holger Hoffmanna
Harald C. Trauea
Franziska Bachmayra
Henrik Kesslera ",2009,Cognition & Emotion,Perceived Realism of Dynamic Facial Expression of Emotion: Optimal Durations for the Presentation of Emotional Onsets and Offsets,Yes,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Synchronization of Stimuli (a), Emotiveness (r), Responsiveness/Latency (o)",This study investigates the methodology of presenting facial expressions in avatars through manipulation of facial expression change in units of time. Participants viewed avatar faces that either changed from an emotional expression to a neutral expression (offsets) or that changed from neutral to emotional (onsets). Different emotions were applied to avatar expressions in each conditio. Participants rated realism of avatar faces after each trial and adjusted the speed of expression onset or offset to enhance realism to the highest level. ,Avatar,No,"Participants percieved sadness most strongly when duration of experience was the longest, followed by the emotions happiness and disgust. Paricipants perceived fear and surprise as most realistic when shown in short durations. Female participants in general perceived sequences of facial expressions as less realistic than male participants when displayed for shorter durations, especially for fear, sadness and disgust. Surprise was perceived as most realistic when shown for a shorter duration than all other emotions. ","124 volunteers (84 onset condition, 40 offset condition)",High,Medium,Joy,2013-06-10,
211,"Jun'ichiro Seyama
Ruth S. Nagayama",2007,Presence,"The Uncanny Valley: Effect of
Realism on the Impression of
Artificial Human Faces",Yes,No,No,"Anthropomorphic Face and Facial Expressions (a), Graphical Fidelity (sm)","Study built to challenge the concept of the uncanny valley by presenting participants with faces either highly or slightly anthropomorphically accurate. This effect was tested by measuring participants' perceptions of facial images considered highly or slightly realistic. Uncanny valley theory is consistent, but only when faces morphed into highly realistic images also displayed abnormal features, such as bizarre eyes. Study proposes that abnormality may rely on generally accepted standards for human faces in terms of averages and what is universally considered attractive. After analyzing study results, researchers believe that the uncanny valley theory is a result of confounding factors based on facial features.",Avatar/Agent,No,Abnormality of features affected participants' ratings of discomfort significantly more than photographic realism. Participants did not experience discomfort increasingly as facial images morphed from clearly artificial to photographically realistic. Participants perceived facial images as more pleasant as eye size decreased. Uncanny Valley effects were most present when eyes and head were the most mistmatched in terms of humanistic realism.,"86 participants (35f, 52m), average age 25.7",Medium,High,Joy,2013-06-10,
212,"Bailenson, J.N.
Jarrold, W.
Mundy, P.
Gwaltney, M.
Hatt, N.
McIntyre, N.
Kim, K.
Solomon, M.
Novotny, S.
Swain, L.",2013,Autism Research,Social Attention in a Virtual Public Speaking Task in Higher Functioning Children with Autism,Yes,Yes,Yes (cue),"eye gaze (r, i), agency (i) ",Study measured gaze behavior. Autistic subjects spoke to a virtual classroom. 2 conditions: introduced themselves and answered questions (non-cued) or did the same but virtual humans faded to transparency when they needed more eye contact (cued). Repeated with nonsocial targets. Autistic subjects had more atypical gaze behavior than controls. Higher effects for virtual humans than nonsocial targets.,Agent,N/A,"gaze behavior when giving a speech - cued and not cued, measures of Autism ",91 elementary school and secondary school students,Medium,High,Jenna,2013-06-10,
213,"Amerych, Laura 
Bailenson, Jeremy
Karutz, Cody",2012,International Society for Presence Research Annual Conference,Effects of Facial and Voice Similarity on Presence in a Public Speaking Virtual Environment,Yes,Yes,No,anthropomorphic face and facial expressions (a); auditory stimuli (sm),Subjects gave a speech to a virtual classroom. They either used their own voices or acted out gestures to another participant's speech. They were also assigned to an avatar with a similar (photograph) or dissimilar (another participant) face to theirs. A mirror in the back of the classroom let them always see themselves. There was higher self-presence and social presence for those that used their own voice. No significant facial effects.,Agent,Yes,"presence measures/questionnaires, subjects rated how similar avatars were to themselves","44 college students (19m, 25f)",Medium,High,Jenna,2013-06-10,
214,"Kang, S-H.
Gratch, J.",2010,Computer Animation and Virtual Worlds,Virtual Humans Elicit Socially Anxious Interactants' Verbal Self-Disclosure,No,Yes,No,"agency (p); emotiveness (r); cooperative behavior (r), talk/speak (r)","This study compared socially anxious subjects and controls. Subjects spoke with and answered questions with a virtual human, modified video, and unmodified video. The virtual human condition led to more self-disclosure and less anxiety for socially anxious subjects. Socially anxious subjects seemed to give more information and have rapport with virtual humans.  ",Agent,N/A,"behavioral/self-disclosure measures, social anxiety and self-consciousness questionnaires ","108 participants (54m, 54f)",Medium,High,Jenna,2013-06-10,
